"Step","polar-music-6 - train/loss","polar-music-6 - train/loss__MIN","polar-music-6 - train/loss__MAX"
"1419","0.7144","0.7144","0.7144"
"1427","1.0469","1.0469","1.0469"
"1428","0.2472","0.2472","0.2472"
"1430","0.1696","0.1696","0.1696"
"1438","1.0677","1.0677","1.0677"
"1439","1.0677","1.0677","1.0677"
"1442","1.0294","1.0294","1.0294"
"1446","1.0978","1.0978","1.0978"
"1454","0.3451","0.3451","0.3451"
"1455","0.3451","0.3451","0.3451"
"1456","0.2693","0.2693","0.2693"
"1459","1.5188","1.5188","1.5188"
"1461","1.3927","1.3927","1.3927"
"1462","1.1117","1.1117","1.1117"
"1464","0.0976","0.0976","0.0976"
"1466","0.6679","0.6679","0.6679"
"1472","2.362","2.362","2.362"
"1473","2.362","2.362","2.362"
"1482","1.1056","1.1056","1.1056"
"1492","0.4281","0.4281","0.4281"
"1495","0.2184","0.2184","0.2184"
"1497","0.8584","0.8584","0.8584"
"1498","0.6113","0.6113","0.6113"
"1500","1.0427","1.0427","1.0427"
"1503","0.7372","0.7372","0.7372"
"1506","1.6226","1.6226","1.6226"
"1512","0.6629","0.6629","0.6629"
"1513","0.6629","0.6629","0.6629"
"1516","1.19","1.19","1.19"
"1517","1.19","1.19","1.19"
"1521","0.651","0.651","0.651"
"1524","0.8125","0.8125","0.8125"
"1525","0.8125","0.8125","0.8125"
"1526","0.5732","0.5732","0.5732"
"1530","1.0126","1.0126","1.0126"
"1532","0.2939","0.2939","0.2939"
"1533","0.2939","0.2939","0.2939"
"1536","1.217","1.217","1.217"
"1539","0.8937","0.8937","0.8937"
"1540","1.7822","1.7822","1.7822"
"1541","1.7822","1.7822","1.7822"
"1547","0.781","0.781","0.781"
"1548","0.6562","0.6562","0.6562"
"1549","0.6562","0.6562","0.6562"
"1552","0.8759","0.8759","0.8759"
"1555","0.0967","0.0967","0.0967"
"1556","0.2606","0.2606","0.2606"
"1558","0.8408","0.8408","0.8408"
"1560","0.4604","0.4604","0.4604"
"1568","0.9252","0.9252","0.9252"
"1570","1.1524","1.1524","1.1524"
"1572","0.5791","0.5791","0.5791"
"1573","0.5791","0.5791","0.5791"
"1575","0.206","0.206","0.206"
"1576","0.6951","0.6951","0.6951"
"1577","0.6951","0.6951","0.6951"
"1580","0.8991","0.8991","0.8991"
"1583","2.3735","2.3735","2.3735"
"1588","0.557","0.557","0.557"
"1593","0.2622","0.2622","0.2622"
"1594","1.6129","1.6129","1.6129"
"1597","0.3227","0.3227","0.3227"
"1601","0.4776","0.4776","0.4776"
"1608","0.5693","0.5693","0.5693"
"1611","0.695","0.695","0.695"
"1614","0.4566","0.4566","0.4566"
"1616","0.5473","0.5473","0.5473"
"1618","0.3803","0.3803","0.3803"
"1619","0.3803","0.3803","0.3803"
"1624","0.6665","0.6665","0.6665"
"1625","0.6665","0.6665","0.6665"
"1626","0.9975","0.9975","0.9975"
"1633","1.1764","1.1764","1.1764"
"1638","0.3032","0.3032","0.3032"
"1644","0.6932","0.6932","0.6932"
"1653","0.8673","0.8673","0.8673"
"1655","0.1475","0.1475","0.1475"
"1659","0.9628","0.9628","0.9628"
"1660","0.682","0.682","0.682"
"1661","0.682","0.682","0.682"
"1663","0.6265","0.6265","0.6265"
"1670","0.9965","0.9965","0.9965"
"1675","0.4761","0.4761","0.4761"
"1676","2.0655","2.0655","2.0655"
"1678","0.786","0.786","0.786"
"1679","0.786","0.786","0.786"
"1681","0.4192","0.4192","0.4192"
"1684","1.3929","1.3929","1.3929"
"1685","1.3929","1.3929","1.3929"
"1687","1.0389","1.0389","1.0389"
"1689","0.2922","0.2922","0.2922"
"1690","0.8899","0.8899","0.8899"
"1699","0.7822","0.7822","0.7822"
"1703","1.0691","1.0691","1.0691"
"1705","0.1348","0.1348","0.1348"
"1707","0.0816","0.0816","0.0816"
"1712","0.8461","0.8461","0.8461"
"1720","0.3958","0.3958","0.3958"
"1721","0.3958","0.3958","0.3958"
"1723","0.6739","0.6739","0.6739"
"1724","0.6779","0.6779","0.6779"
"1726","0.7658","0.7658","0.7658"
"1728","0.289","0.289","0.289"
"1732","1.1761","1.1761","1.1761"
"1733","1.1761","1.1761","1.1761"
"1734","0.6394","0.6394","0.6394"
"1745","0.1519","0.1519","0.1519"
"1750","0.3742","0.3742","0.3742"
"1751","0.3742","0.3742","0.3742"
"1753","0.2845","0.2845","0.2845"
"1754","0.5759","0.5759","0.5759"
"1755","0.5759","0.5759","0.5759"
"1756","1.4151","1.4151","1.4151"
"1762","0.9209","0.9209","0.9209"
"1763","0.9209","0.9209","0.9209"
"1766","1.1928","1.1928","1.1928"
"1767","1.1928","1.1928","1.1928"
"1768","0.4621","0.4621","0.4621"
"1776","0.4625","0.4625","0.4625"
"1785","0.1699","0.1699","0.1699"
"1789","0.6582","0.6582","0.6582"
"1790","0.2585","0.2585","0.2585"
"1791","0.2585","0.2585","0.2585"
"1792","0.4343","0.4343","0.4343"
"1794","1.4847","1.4847","1.4847"
"1795","1.4847","1.4847","1.4847"
"1800","1.1617","1.1617","1.1617"
"1805","0.4337","0.4337","0.4337"
"1807","0.9184","0.9184","0.9184"
"1809","0.5056","0.5056","0.5056"
"1816","0.7462","0.7462","0.7462"
"1818","0.5316","0.5316","0.5316"
"1819","0.5316","0.5316","0.5316"
"1820","0.6108","0.6108","0.6108"
"1822","0.5805","0.5805","0.5805"
"1825","0.478","0.478","0.478"
"1833","1.1116","1.1116","1.1116"
"1834","0.5714","0.5714","0.5714"
"1837","0.5366","0.5366","0.5366"
"1838","1.017","1.017","1.017"
"1839","1.017","1.017","1.017"
"1851","0.4825","0.4825","0.4825"
"1852","1.2356","1.2356","1.2356"
"1855","0.7145","0.7145","0.7145"
"1862","0.4374","0.4374","0.4374"
"1863","0.4374","0.4374","0.4374"
"1864","0.4316","0.4316","0.4316"
"1872","1.7472","1.7472","1.7472"
"1873","1.7472","1.7472","1.7472"
"1876","0.589","0.589","0.589"
"1879","0.0926","0.0926","0.0926"
